"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain0-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 00:13:52 UTC"
"system"
"time"
19-07 00:13:52
19-07 00:13:53
19-07 00:13:54
19-07 00:13:55
19-07 00:13:56
19-07 00:13:57
19-07 00:13:58
19-07 00:13:59
19-07 00:14:00
19-07 00:14:01
19-07 00:14:02
19-07 00:14:03
19-07 00:14:04
19-07 00:14:05
19-07 00:14:06
19-07 00:14:07
19-07 00:14:08
19-07 00:14:09
19-07 00:14:10
19-07 00:14:11
19-07 00:14:12
19-07 00:14:13
19-07 00:14:14
19-07 00:14:15
19-07 00:14:16
19-07 00:14:17
19-07 00:14:18
19-07 00:14:19
19-07 00:14:20
19-07 00:14:21
19-07 00:14:22
19-07 00:14:23
19-07 00:14:24
19-07 00:14:25
19-07 00:14:26
19-07 00:14:27
19-07 00:14:28
19-07 00:14:29
19-07 00:14:30
