"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain19-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 00:13:52 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 00:13:52
1116500,0,19-07 00:13:53
1125088,0,19-07 00:13:54
1108856,0,19-07 00:13:55
1133820,0,19-07 00:13:56
1158832,0,19-07 00:13:57
1146888,0,19-07 00:13:58
1151089,0,19-07 00:13:59
1150882,0,19-07 00:14:00
1144136,0,19-07 00:14:01
1206222,0,19-07 00:14:02
1125732,0,19-07 00:14:03
1179657,0,19-07 00:14:04
1219502,0,19-07 00:14:05
1203223,0,19-07 00:14:06
1188992,0,19-07 00:14:07
1172568,0,19-07 00:14:08
1117670,0,19-07 00:14:09
882266,0,19-07 00:14:10
906540,2136,19-07 00:14:11
987479,356,19-07 00:14:12
688235,356,19-07 00:14:13
1160187,0,19-07 00:14:14
1159176,0,19-07 00:14:15
1164957,0,19-07 00:14:16
1093874,0,19-07 00:14:17
1074064,0,19-07 00:14:18
1082168,0,19-07 00:14:19
1166418,1068,19-07 00:14:20
1119708,712,19-07 00:14:21
1181616,356,19-07 00:14:22
1113718,0,19-07 00:14:23
1026421,0,19-07 00:14:24
1236811,356,19-07 00:14:25
1081622,712,19-07 00:14:26
1247619,0,19-07 00:14:27
956334,0,19-07 00:14:28
1001310,1068,19-07 00:14:29
1067165,712,19-07 00:14:30
1228220,0,19-07 00:14:31
1235437,0,19-07 00:14:32
1234453,0,19-07 00:14:33
1177013,0,19-07 00:14:34
851790,2136,19-07 00:14:35
483714,356,19-07 00:14:36
