"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain4-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 19:06:55 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 19:06:55
0,0,19-07 19:06:56
0,0,19-07 19:06:57
141363,0,19-07 19:06:58
2274856,0,19-07 19:06:59
2534670,0,19-07 19:07:00
2686597,0,19-07 19:07:01
2848132,0,19-07 19:07:02
2509549,0,19-07 19:07:03
1138451,0,19-07 19:07:04
15800,0,19-07 19:07:05
18901,0,19-07 19:07:06
2933147,1068,19-07 19:07:07
2398615,356,19-07 19:07:08
2712563,356,19-07 19:07:09
2130804,0,19-07 19:07:10
1768534,0,19-07 19:07:11
3636609,0,19-07 19:07:12
2401847,0,19-07 19:07:13
405872,1068,19-07 19:07:14
374609,1424,19-07 19:07:15
664996,356,19-07 19:07:16
490204,356,19-07 19:07:17
2095453,0,19-07 19:07:18
2145009,0,19-07 19:07:19
1573764,0,19-07 19:07:20
2915652,0,19-07 19:07:21
2763766,0,19-07 19:07:22
2370556,0,19-07 19:07:23
2562420,0,19-07 19:07:24
2019521,0,19-07 19:07:25
2506604,0,19-07 19:07:26
2623673,0,19-07 19:07:27
3224857,0,19-07 19:07:28
2464258,0,19-07 19:07:29
1289576,1424,19-07 19:07:30
1897081,712,19-07 19:07:31
3260871,0,19-07 19:07:32
2605614,0,19-07 19:07:33
3009440,0,19-07 19:07:34
1954012,0,19-07 19:07:35
3050100,356,19-07 19:07:36
3018456,356,19-07 19:07:37
2052058,712,19-07 19:07:38
3369430,0,19-07 19:07:39
2361262,356,19-07 19:07:40
431208,1780,19-07 19:07:41
447414,356,19-07 19:07:42
678513,356,19-07 19:07:43
967099,0,19-07 19:07:44
2094842,0,19-07 19:07:45
2116655,0,19-07 19:07:46
2279967,0,19-07 19:07:47
2995154,0,19-07 19:07:48
2595764,0,19-07 19:07:49
2645032,0,19-07 19:07:50
2621535,0,19-07 19:07:51
2581470,0,19-07 19:07:52
2723409,0,19-07 19:07:53
2978009,0,19-07 19:07:54
2413856,0,19-07 19:07:55
1514569,0,19-07 19:07:56
1670232,712,19-07 19:07:57
2369840,712,19-07 19:07:58
2974467,0,19-07 19:07:59
2289980,0,19-07 19:08:00
2972684,0,19-07 19:08:01
2298060,0,19-07 19:08:02
3526580,356,19-07 19:08:03
2183705,1424,19-07 19:08:04
2334179,712,19-07 19:08:05
3669507,0,19-07 19:08:06
970891,1068,19-07 19:08:07
425680,356,19-07 19:08:08
591090,0,19-07 19:08:09
523899,712,19-07 19:08:10
1935562,0,19-07 19:08:11
2181608,0,19-07 19:08:12
1778557,0,19-07 19:08:13
2743340,0,19-07 19:08:14
2383178,0,19-07 19:08:15
2618724,0,19-07 19:08:16
2502920,0,19-07 19:08:17
2575965,0,19-07 19:08:18
2545656,0,19-07 19:08:19
2173325,0,19-07 19:08:20
2977437,0,19-07 19:08:21
2547217,0,19-07 19:08:22
1766776,712,19-07 19:08:23
2095341,0,19-07 19:08:24
2710713,0,19-07 19:08:25
2617701,0,19-07 19:08:26
2375852,1068,19-07 19:08:27
2604955,1424,19-07 19:08:28
2751742,0,19-07 19:08:29
2652323,356,19-07 19:08:30
2230438,356,19-07 19:08:31
2420546,0,19-07 19:08:32
3539658,0,19-07 19:08:33
894030,1068,19-07 19:08:34
400906,356,19-07 19:08:35
701911,356,19-07 19:08:36
374393,356,19-07 19:08:37
2365290,0,19-07 19:08:38
2155196,0,19-07 19:08:39
1686081,0,19-07 19:08:40
2671920,0,19-07 19:08:41
2717206,0,19-07 19:08:42
2524316,0,19-07 19:08:43
2668680,0,19-07 19:08:44
2150558,0,19-07 19:08:45
2438006,0,19-07 19:08:46
3120964,0,19-07 19:08:47
2894215,0,19-07 19:08:48
2462636,0,19-07 19:08:49
1109540,0,19-07 19:08:50
2094986,712,19-07 19:08:51
3232820,0,19-07 19:08:52
