"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ids2",,,,"User:","root"
"Cmdline:","dstat --net --time -N input --bits --output /tmp/dstat.csv",,,,"Date:","05 Jul 2017 06:23:44 UTC"
"net/input",,"system"
"recv","send","time"
0,0,05-07 06:23:44
0,0,05-07 06:23:45
0,0,05-07 06:23:46
0,0,05-07 06:23:47
0,0,05-07 06:23:48
0,0,05-07 06:23:49
0,0,05-07 06:23:50
0,0,05-07 06:23:51
0,0,05-07 06:23:52
0,0,05-07 06:23:53
0,0,05-07 06:23:54
0,0,05-07 06:23:55
0,0,05-07 06:23:56
0,0,05-07 06:23:57
0,0,05-07 06:23:58
0,0,05-07 06:23:59
0,0,05-07 06:24:00
0,0,05-07 06:24:01
0,0,05-07 06:24:02
0,0,05-07 06:24:03
0,0,05-07 06:24:04
0,0,05-07 06:24:05
0,0,05-07 06:24:06
0,0,05-07 06:24:07
1086969,0,05-07 06:24:08
1297072,0,05-07 06:24:09
1298938,0,05-07 06:24:10
1284463,0,05-07 06:24:11
1161558,0,05-07 06:24:12
1236687,0,05-07 06:24:13
853532,0,05-07 06:24:14
827484,0,05-07 06:24:15
1077738,42,05-07 06:24:16
1294547,0,05-07 06:24:17
1287800,0,05-07 06:24:18
1278406,0,05-07 06:24:19
1267332,1110,05-07 06:24:20
1271345,0,05-07 06:24:21
1238653,1480,05-07 06:24:22
1259436,370,05-07 06:24:23
1259339,370,05-07 06:24:24
1282403,412,05-07 06:24:25
1260128,740,05-07 06:24:26
1297517,0,05-07 06:24:27
1224310,370,05-07 06:24:28
1159724,740,05-07 06:24:29
1294323,0,05-07 06:24:30
1292985,0,05-07 06:24:31
1294185,0,05-07 06:24:32
1286830,0,05-07 06:24:33
1136298,1850,05-07 06:24:34
899791,370,05-07 06:24:35
870044,370,05-07 06:24:36
1247799,0,05-07 06:24:37
1253902,0,05-07 06:24:38
1274617,0,05-07 06:24:39
1156696,0,05-07 06:24:40
1271275,0,05-07 06:24:41
1267458,0,05-07 06:24:42
1279974,0,05-07 06:24:43
1262002,0,05-07 06:24:44
1256892,0,05-07 06:24:45
1271578,0,05-07 06:24:46
1291116,0,05-07 06:24:47
1274668,0,05-07 06:24:48
1283714,0,05-07 06:24:49
1277562,0,05-07 06:24:50
1261029,0,05-07 06:24:51
1274808,0,05-07 06:24:52
1283438,0,05-07 06:24:53
1260580,0,05-07 06:24:54
1270213,0,05-07 06:24:55
1295386,0,05-07 06:24:56
1280023,0,05-07 06:24:57
1284946,0,05-07 06:24:58
1291248,0,05-07 06:24:59
1238741,0,05-07 06:25:00
918944,2220,05-07 06:25:01
1073286,370,05-07 06:25:02
829637,370,05-07 06:25:03
1282523,0,05-07 06:25:04
1288980,42,05-07 06:25:05
1280141,0,05-07 06:25:06
1272976,0,05-07 06:25:07
1281212,0,05-07 06:25:08
1278870,1110,05-07 06:25:09
1280093,0,05-07 06:25:10
1251258,1480,05-07 06:25:11
1251425,370,05-07 06:25:12
1253327,370,05-07 06:25:13
1293099,412,05-07 06:25:14
1261708,740,05-07 06:25:15
1287259,0,05-07 06:25:16
1220429,370,05-07 06:25:17
1143517,740,05-07 06:25:18
1290403,0,05-07 06:25:19
1301125,0,05-07 06:25:20
1291371,0,05-07 06:25:21
1291862,0,05-07 06:25:22
1168395,1850,05-07 06:25:23
898050,370,05-07 06:25:24
786374,370,05-07 06:25:25
0,0,05-07 06:25:26
0,0,05-07 06:25:27
0,0,05-07 06:25:28
