"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vpn",,,,"User:","root"
"Cmdline:","dstat --net --time -N input-fw --bits --output /tmp/dstat.csv",,,,"Date:","23 Jul 2017 03:33:46 UTC"
"net/input-fw",,"system"
"recv","send","time"
0,0,23-07 03:33:46
0,0,23-07 03:33:47
0,0,23-07 03:33:48
0,0,23-07 03:33:49
0,0,23-07 03:33:50
0,0,23-07 03:33:51
0,0,23-07 03:33:52
0,0,23-07 03:33:53
0,0,23-07 03:33:54
0,0,23-07 03:33:55
0,0,23-07 03:33:56
0,0,23-07 03:33:57
0,0,23-07 03:33:58
0,0,23-07 03:33:59
0,0,23-07 03:34:00
0,0,23-07 03:34:01
0,0,23-07 03:34:02
0,0,23-07 03:34:03
0,0,23-07 03:34:04
0,0,23-07 03:34:05
0,0,23-07 03:34:06
0,0,23-07 03:34:07
0,0,23-07 03:34:08
0,0,23-07 03:34:09
0,0,23-07 03:34:10
0,0,23-07 03:34:11
0,0,23-07 03:34:12
0,0,23-07 03:34:13
0,0,23-07 03:34:14
0,0,23-07 03:34:15
0,0,23-07 03:34:16
0,0,23-07 03:34:17
0,0,23-07 03:34:18
0,0,23-07 03:34:19
0,0,23-07 03:34:20
0,0,23-07 03:34:21
0,0,23-07 03:34:22
0,0,23-07 03:34:23
0,0,23-07 03:34:24
0,0,23-07 03:34:25
0,0,23-07 03:34:26
0,0,23-07 03:34:27
0,0,23-07 03:34:28
0,0,23-07 03:34:29
0,0,23-07 03:34:30
0,0,23-07 03:34:31
0,0,23-07 03:34:32
0,0,23-07 03:34:33
0,0,23-07 03:34:34
0,0,23-07 03:34:35
0,0,23-07 03:34:36
0,0,23-07 03:34:37
0,0,23-07 03:34:38
95016,0,23-07 03:34:39
130254,0,23-07 03:34:40
0,0,23-07 03:34:41
0,0,23-07 03:34:42
0,0,23-07 03:34:43
0,0,23-07 03:34:44
0,0,23-07 03:34:45
0,0,23-07 03:34:46
0,0,23-07 03:34:47
0,0,23-07 03:34:48
0,0,23-07 03:34:49
0,0,23-07 03:34:50
0,0,23-07 03:34:51
0,0,23-07 03:34:52
0,0,23-07 03:34:53
0,0,23-07 03:34:54
0,0,23-07 03:34:55
0,0,23-07 03:34:56
0,0,23-07 03:34:57
0,0,23-07 03:34:58
0,0,23-07 03:34:59
0,0,23-07 03:35:00
0,0,23-07 03:35:01
0,0,23-07 03:35:02
