"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vpn",,,,"User:","root"
"Cmdline:","dstat --net --time -N input-fw --bits --output /tmp/dstat.csv",,,,"Date:","25 Jul 2017 18:51:05 UTC"
"net/input-fw",,"system"
"recv","send","time"
0,0,25-07 18:51:05
18717342,0,25-07 18:51:06
28379172,0,25-07 18:51:07
28008402,0,25-07 18:51:08
12742856,0,25-07 18:51:09
9602216,0,25-07 18:51:10
8165664,0,25-07 18:51:11
9621118,0,25-07 18:51:12
10572034,0,25-07 18:51:13
9882838,0,25-07 18:51:14
10761054,0,25-07 18:51:15
9637112,0,25-07 18:51:16
9468448,0,25-07 18:51:17
10372836,0,25-07 18:51:18
10685446,0,25-07 18:51:19
11809388,0,25-07 18:51:20
10817760,0,25-07 18:51:21
8658570,0,25-07 18:51:22
12723954,0,25-07 18:51:23
8984266,0,25-07 18:51:24
9109310,0,25-07 18:51:25
11223426,0,25-07 18:51:26
11989684,0,25-07 18:51:27
10694170,0,25-07 18:51:28
13046742,0,25-07 18:51:29
7850146,0,25-07 18:51:30
10273964,0,25-07 18:51:31
13437868,0,25-07 18:51:32
10743606,0,25-07 18:51:33
10468800,0,25-07 18:51:34
8485544,0,25-07 18:51:35
8846136,0,25-07 18:51:36
10262332,0,25-07 18:51:37
8052252,0,25-07 18:51:38
9187826,0,25-07 18:51:39
12232502,0,25-07 18:51:40
13474218,0,25-07 18:51:41
10992240,0,25-07 18:51:42
9080230,0,25-07 18:51:43
11598558,0,25-07 18:51:44
9381208,0,25-07 18:51:45
10554586,0,25-07 18:51:46
11224880,0,25-07 18:51:47
10724704,0,25-07 18:51:48
10445536,0,25-07 18:51:49
9943906,0,25-07 18:51:50
13117988,0,25-07 18:51:51
9003168,0,25-07 18:51:52
8297978,0,25-07 18:51:53
9088954,0,25-07 18:51:54
12351730,0,25-07 18:51:55
10970430,0,25-07 18:51:56
9500436,0,25-07 18:51:57
9122396,0,25-07 18:51:58
11872090,0,25-07 18:51:59
10589482,0,25-07 18:52:00
8539342,0,25-07 18:52:01
9897378,0,25-07 18:52:02
12143808,0,25-07 18:52:03
11051854,0,25-07 18:52:04
11438618,0,25-07 18:52:05
11674166,0,25-07 18:52:06
10135834,0,25-07 18:52:07
12687604,0,25-07 18:52:08
11246690,0,25-07 18:52:09
10336486,0,25-07 18:52:10
10092214,0,25-07 18:52:11
9173286,0,25-07 18:52:12
11252506,0,25-07 18:52:13
11347016,0,25-07 18:52:14
8401212,0,25-07 18:52:15
9257618,0,25-07 18:52:16
11780308,0,25-07 18:52:17
15112876,0,25-07 18:52:18
11927162,0,25-07 18:52:19
11985322,0,25-07 18:52:20
10077674,0,25-07 18:52:21
