"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vpn",,,,"User:","root"
"Cmdline:","dstat --net --time -N input-fw --bits --output /tmp/dstat.csv",,,,"Date:","23 Jul 2017 03:35:06 UTC"
"net/input-fw",,"system"
"recv","send","time"
0,0,23-07 03:35:06
0,0,23-07 03:35:07
0,0,23-07 03:35:08
0,0,23-07 03:35:09
0,0,23-07 03:35:10
0,0,23-07 03:35:11
0,0,23-07 03:35:12
0,0,23-07 03:35:13
0,0,23-07 03:35:14
0,0,23-07 03:35:15
0,0,23-07 03:35:16
0,0,23-07 03:35:17
0,0,23-07 03:35:18
0,0,23-07 03:35:19
0,0,23-07 03:35:20
0,0,23-07 03:35:21
0,0,23-07 03:35:22
0,0,23-07 03:35:23
0,0,23-07 03:35:24
0,0,23-07 03:35:25
0,0,23-07 03:35:26
0,0,23-07 03:35:27
0,0,23-07 03:35:28
0,0,23-07 03:35:29
0,0,23-07 03:35:30
0,0,23-07 03:35:31
0,0,23-07 03:35:32
0,0,23-07 03:35:33
0,0,23-07 03:35:34
0,0,23-07 03:35:35
0,0,23-07 03:35:36
0,0,23-07 03:35:37
0,0,23-07 03:35:38
0,0,23-07 03:35:39
0,0,23-07 03:35:40
0,0,23-07 03:35:41
0,0,23-07 03:35:42
0,0,23-07 03:35:43
0,0,23-07 03:35:44
0,0,23-07 03:35:45
0,0,23-07 03:35:46
0,0,23-07 03:35:47
0,0,23-07 03:35:48
0,0,23-07 03:35:49
0,0,23-07 03:35:50
0,0,23-07 03:35:51
0,0,23-07 03:35:52
0,0,23-07 03:35:53
0,0,23-07 03:35:54
0,0,23-07 03:35:55
0,0,23-07 03:35:56
0,0,23-07 03:35:57
0,0,23-07 03:35:58
0,0,23-07 03:35:59
0,0,23-07 03:36:00
0,0,23-07 03:36:01
0,0,23-07 03:36:02
0,0,23-07 03:36:03
0,0,23-07 03:36:04
0,0,23-07 03:36:05
0,0,23-07 03:36:06
0,0,23-07 03:36:07
0,0,23-07 03:36:08
0,0,23-07 03:36:09
0,0,23-07 03:36:10
0,0,23-07 03:36:11
0,0,23-07 03:36:12
0,0,23-07 03:36:13
0,0,23-07 03:36:14
0,0,23-07 03:36:15
0,0,23-07 03:36:16
0,0,23-07 03:36:17
0,0,23-07 03:36:18
0,0,23-07 03:36:19
0,0,23-07 03:36:20
0,0,23-07 03:36:21
0,0,23-07 03:36:22
