"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ids2",,,,"User:","root"
"Cmdline:","dstat --net --time -N input --bits --output /tmp/dstat.csv",,,,"Date:","23 Jul 2017 03:35:06 UTC"
"net/input",,"system"
"recv","send","time"
0,0,23-07 03:35:06
8719638,215082,23-07 03:35:07
12529118,293058,23-07 03:35:08
12322650,270540,23-07 03:35:09
14910204,254286,23-07 03:35:10
17006020,219888,23-07 03:35:11
16442343,222880,23-07 03:35:12
16555226,224894,23-07 03:35:13
16854806,217774,23-07 03:35:14
13896733,198388,23-07 03:35:15
16785013,215622,23-07 03:35:16
15773103,211548,23-07 03:35:17
16862595,228250,23-07 03:35:18
16358594,208108,23-07 03:35:19
14675472,219606,23-07 03:35:20
17033115,221076,23-07 03:35:21
16373532,220574,23-07 03:35:22
17065212,220412,23-07 03:35:23
16070477,224632,23-07 03:35:24
15238264,224586,23-07 03:35:25
16697451,218214,23-07 03:35:26
16214801,219656,23-07 03:35:27
17066374,222788,23-07 03:35:28
15300038,202978,23-07 03:35:29
15639900,221292,23-07 03:35:30
17029848,226530,23-07 03:35:31
16172763,222236,23-07 03:35:32
16639221,216416,23-07 03:35:33
14801248,203464,23-07 03:35:34
16365862,226260,23-07 03:35:35
16861241,218862,23-07 03:35:36
16734176,233480,23-07 03:35:37
16684274,211564,23-07 03:35:38
14654742,218576,23-07 03:35:39
16560005,219024,23-07 03:35:40
16821954,213612,23-07 03:35:41
16442834,226016,23-07 03:35:42
16817557,227852,23-07 03:35:43
14693652,222630,23-07 03:35:44
16608103,220482,23-07 03:35:45
16883592,212652,23-07 03:35:46
16197814,221484,23-07 03:35:47
16530249,204968,23-07 03:35:48
14683953,212328,23-07 03:35:49
16852400,233496,23-07 03:35:50
16790521,212382,23-07 03:35:51
16165187,220512,23-07 03:35:52
16163410,207020,23-07 03:35:53
14618388,211680,23-07 03:35:54
16799893,208710,23-07 03:35:55
17329944,226476,23-07 03:35:56
16299831,224130,23-07 03:35:57
16394257,215012,23-07 03:35:58
14511815,206388,23-07 03:35:59
16555383,193266,23-07 03:36:00
16828425,214164,23-07 03:36:01
16183976,216346,23-07 03:36:02
16556881,229168,23-07 03:36:03
14705237,206334,23-07 03:36:04
16793983,215568,23-07 03:36:05
17008885,216162,23-07 03:36:06
16204009,218182,23-07 03:36:07
16357051,210924,23-07 03:36:08
14803930,236728,23-07 03:36:09
16915682,215946,23-07 03:36:10
16678179,215298,23-07 03:36:11
16287773,223744,23-07 03:36:12
16828080,216702,23-07 03:36:13
14332430,209080,23-07 03:36:14
16920295,225126,23-07 03:36:15
16653816,218052,23-07 03:36:16
16260014,214780,23-07 03:36:17
16480726,208170,23-07 03:36:18
14317328,210742,23-07 03:36:19
17139364,225450,23-07 03:36:20
16439496,211116,23-07 03:36:21
16555672,239382,23-07 03:36:22
