"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vpn",,,,"User:","root"
"Cmdline:","dstat --net --time -N input-fw --bits --output /tmp/dstat.csv",,,,"Date:","25 Jul 2017 18:49:44 UTC"
"net/input-fw",,"system"
"recv","send","time"
0,0,25-07 18:49:44
7684390,0,25-07 18:49:45
12292116,0,25-07 18:49:46
12290662,0,25-07 18:49:47
12084194,0,25-07 18:49:48
10961706,0,25-07 18:49:49
9346312,0,25-07 18:49:50
9900286,0,25-07 18:49:51
10519690,0,25-07 18:49:52
10320492,0,25-07 18:49:53
11216156,0,25-07 18:49:54
9940998,0,25-07 18:49:55
9903194,0,25-07 18:49:56
10548770,0,25-07 18:49:57
9676370,0,25-07 18:49:58
11352832,0,25-07 18:49:59
10698532,0,25-07 18:50:00
10036962,0,25-07 18:50:01
10000612,0,25-07 18:50:02
9753432,0,25-07 18:50:03
11733780,0,25-07 18:50:04
10734882,0,25-07 18:50:05
10791588,0,25-07 18:50:06
9154384,0,25-07 18:50:07
9721444,0,25-07 18:50:08
11579656,0,25-07 18:50:09
10397554,0,25-07 18:50:10
10390284,0,25-07 18:50:11
10541500,0,25-07 18:50:12
9074414,0,25-07 18:50:13
11379004,0,25-07 18:50:14
10525506,0,25-07 18:50:15
10800312,0,25-07 18:50:16
10082036,0,25-07 18:50:17
9109310,0,25-07 18:50:18
11633454,0,25-07 18:50:19
10771232,0,25-07 18:50:20
10465892,0,25-07 18:50:21
10020968,0,25-07 18:50:22
9999158,0,25-07 18:50:23
12047844,0,25-07 18:50:24
10718888,0,25-07 18:50:25
10605476,0,25-07 18:50:26
10586574,0,25-07 18:50:27
9781058,0,25-07 18:50:28
11693068,0,25-07 18:50:29
10534230,0,25-07 18:50:30
10035508,0,25-07 18:50:31
10029692,0,25-07 18:50:32
10144558,0,25-07 18:50:33
11230696,0,25-07 18:50:34
10423726,0,25-07 18:50:35
10329216,0,25-07 18:50:36
10528414,0,25-07 18:50:37
9663374,0,25-07 18:50:38
10781500,0,25-07 18:50:39
10897730,0,25-07 18:50:40
10714526,0,25-07 18:50:41
9642928,0,25-07 18:50:42
10096576,0,25-07 18:50:43
11204524,0,25-07 18:50:44
10582212,0,25-07 18:50:45
10756692,0,25-07 18:50:46
10429542,0,25-07 18:50:47
10141650,0,25-07 18:50:48
11582564,0,25-07 18:50:49
9797052,0,25-07 18:50:50
10007882,0,25-07 18:50:51
11147818,0,25-07 18:50:52
10035508,0,25-07 18:50:53
11521496,0,25-07 18:50:54
10241976,0,25-07 18:50:55
9737438,0,25-07 18:50:56
9756340,0,25-07 18:50:57
9751978,0,25-07 18:50:58
8479728,0,25-07 18:50:59
8372132,0,25-07 18:51:00
