"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vpn",,,,"User:","root"
"Cmdline:","dstat --net --time -N input-fw --bits --output /tmp/dstat.csv",,,,"Date:","25 Jul 2017 18:48:23 UTC"
"net/input-fw",,"system"
"recv","send","time"
0,0,25-07 18:48:23
809878,0,25-07 18:48:24
1310054,0,25-07 18:48:25
1308600,0,25-07 18:48:26
1308600,0,25-07 18:48:27
1310054,0,25-07 18:48:28
1305692,0,25-07 18:48:29
1308600,0,25-07 18:48:30
1310054,0,25-07 18:48:31
1308600,0,25-07 18:48:32
1308600,0,25-07 18:48:33
1308600,0,25-07 18:48:34
1032340,0,25-07 18:48:35
1308600,0,25-07 18:48:36
1308600,0,25-07 18:48:37
1310054,0,25-07 18:48:38
1310054,0,25-07 18:48:39
1308600,0,25-07 18:48:40
1310054,0,25-07 18:48:41
1308600,0,25-07 18:48:42
1310054,0,25-07 18:48:43
1308600,0,25-07 18:48:44
1310054,0,25-07 18:48:45
1058512,0,25-07 18:48:46
1310054,0,25-07 18:48:47
1310054,0,25-07 18:48:48
1292606,0,25-07 18:48:49
1296968,0,25-07 18:48:50
1307146,0,25-07 18:48:51
1304238,0,25-07 18:48:52
1310054,0,25-07 18:48:53
1308600,0,25-07 18:48:54
1304238,0,25-07 18:48:55
1305692,0,25-07 18:48:56
1310054,0,25-07 18:48:57
1075960,0,25-07 18:48:58
1299876,0,25-07 18:48:59
1305692,0,25-07 18:49:00
1310054,0,25-07 18:49:01
1288244,0,25-07 18:49:02
1308600,0,25-07 18:49:03
1310054,0,25-07 18:49:04
1298422,0,25-07 18:49:05
1307146,0,25-07 18:49:06
1302784,0,25-07 18:49:07
1305692,0,25-07 18:49:08
932014,0,25-07 18:49:09
1308600,0,25-07 18:49:10
1308600,0,25-07 18:49:11
1305692,0,25-07 18:49:12
1308600,0,25-07 18:49:13
1301330,0,25-07 18:49:14
1301330,0,25-07 18:49:15
1386282,0,25-07 18:49:16
1427292,0,25-07 18:49:17
1307146,0,25-07 18:49:18
1304238,0,25-07 18:49:19
1160292,0,25-07 18:49:20
1247532,0,25-07 18:49:21
1310054,0,25-07 18:49:22
1305692,0,25-07 18:49:23
1310054,0,25-07 18:49:24
1299876,0,25-07 18:49:25
1305692,0,25-07 18:49:26
1305692,0,25-07 18:49:27
1301330,0,25-07 18:49:28
1305692,0,25-07 18:49:29
1302784,0,25-07 18:49:30
1308600,0,25-07 18:49:31
910204,0,25-07 18:49:32
1304238,0,25-07 18:49:33
1310054,0,25-07 18:49:34
1283882,0,25-07 18:49:35
1295514,0,25-07 18:49:36
1308600,0,25-07 18:49:37
1310054,0,25-07 18:49:38
1260618,0,25-07 18:49:39
