"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain38-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 19:41:46 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 19:41:46
0,0,19-07 19:41:47
0,0,19-07 19:41:48
0,0,19-07 19:41:49
0,0,19-07 19:41:50
0,0,19-07 19:41:51
0,0,19-07 19:41:52
0,0,19-07 19:41:53
0,0,19-07 19:41:54
0,0,19-07 19:41:55
129869,0,19-07 19:41:56
7524066,0,19-07 19:41:57
7491182,0,19-07 19:41:58
6949103,0,19-07 19:41:59
4624092,0,19-07 19:42:00
2939872,2136,19-07 19:42:01
5479878,0,19-07 19:42:02
6523107,712,19-07 19:42:03
7309157,0,19-07 19:42:04
1694086,712,19-07 19:42:05
1003731,356,19-07 19:42:06
3794894,0,19-07 19:42:07
4720943,0,19-07 19:42:08
3786112,0,19-07 19:42:09
3454677,0,19-07 19:42:10
3635466,0,19-07 19:42:11
3567842,356,19-07 19:42:12
5059237,0,19-07 19:42:13
5057551,712,19-07 19:42:14
2956650,712,19-07 19:42:15
2476395,712,19-07 19:42:16
3206591,712,19-07 19:42:17
1063298,712,19-07 19:42:18
651855,0,19-07 19:42:19
3512641,0,19-07 19:42:20
3472098,0,19-07 19:42:21
5504056,0,19-07 19:42:22
5637087,0,19-07 19:42:23
5607513,0,19-07 19:42:24
1834118,712,19-07 19:42:25
4254565,0,19-07 19:42:26
4304897,0,19-07 19:42:27
4828442,356,19-07 19:42:28
3826912,0,19-07 19:42:29
1961478,2136,19-07 19:42:30
928793,356,19-07 19:42:31
2024732,0,19-07 19:42:32
3765718,0,19-07 19:42:33
5010982,0,19-07 19:42:34
3874989,0,19-07 19:42:35
5003970,0,19-07 19:42:36
4308550,0,19-07 19:42:37
3214346,0,19-07 19:42:38
3990673,0,19-07 19:42:39
3379578,356,19-07 19:42:40
3473651,0,19-07 19:42:41
2183051,712,19-07 19:42:42
4447959,0,19-07 19:42:43
740144,356,19-07 19:42:44
358509,712,19-07 19:42:45
765779,356,19-07 19:42:46
3675733,0,19-07 19:42:47
5623723,0,19-07 19:42:48
4179149,0,19-07 19:42:49
3158969,0,19-07 19:42:50
3368804,0,19-07 19:42:51
1774756,712,19-07 19:42:52
2679525,0,19-07 19:42:53
3576198,0,19-07 19:42:54
3982759,712,19-07 19:42:55
3191087,0,19-07 19:42:56
2825084,0,19-07 19:42:57
3886227,1068,19-07 19:42:58
468358,1424,19-07 19:42:59
751370,356,19-07 19:43:00
1718361,0,19-07 19:43:01
2620906,0,19-07 19:43:02
2760151,0,19-07 19:43:03
2773046,0,19-07 19:43:04
2940980,0,19-07 19:43:05
3369241,0,19-07 19:43:06
3012926,0,19-07 19:43:07
3774266,0,19-07 19:43:08
2199331,712,19-07 19:43:09
3390987,0,19-07 19:43:10
3749701,0,19-07 19:43:11
4538230,0,19-07 19:43:12
4856424,0,19-07 19:43:13
611761,2136,19-07 19:43:14
688424,356,19-07 19:43:15
559019,356,19-07 19:43:16
2456873,0,19-07 19:43:17
3489883,0,19-07 19:43:18
4498933,0,19-07 19:43:19
4762820,0,19-07 19:43:20
3497937,0,19-07 19:43:21
3698625,0,19-07 19:43:22
3063621,356,19-07 19:43:23
3550867,0,19-07 19:43:24
3633687,1068,19-07 19:43:25
2865699,712,19-07 19:43:26
3405996,0,19-07 19:43:27
7150673,1068,19-07 19:43:28
676134,712,19-07 19:43:29
737599,356,19-07 19:43:30
1088080,0,19-07 19:43:31
3548634,0,19-07 19:43:32
3014765,0,19-07 19:43:33
6330460,0,19-07 19:43:34
6190907,0,19-07 19:43:35
5747113,0,19-07 19:43:36
4140086,356,19-07 19:43:37
4647310,0,19-07 19:43:38
4903610,1068,19-07 19:43:39
5199620,1424,19-07 19:43:40
3131672,356,19-07 19:43:41
460377,356,19-07 19:43:42
728838,356,19-07 19:43:43
757114,356,19-07 19:43:44
3114309,0,19-07 19:43:45
2969650,0,19-07 19:43:46
6008496,0,19-07 19:43:47
5998468,0,19-07 19:43:48
5498618,0,19-07 19:43:49
2892896,1068,19-07 19:43:50
4299495,0,19-07 19:43:51
5100237,712,19-07 19:43:52
2518542,1068,19-07 19:43:53
3844990,356,19-07 19:43:54
2822668,356,19-07 19:43:55
456881,356,19-07 19:43:56
771348,356,19-07 19:43:57
2255984,0,19-07 19:43:58
5165440,0,19-07 19:43:59
6094032,0,19-07 19:44:00
6040758,0,19-07 19:44:01
5992563,0,19-07 19:44:02
3995779,2136,19-07 19:44:03
6104712,0,19-07 19:44:04
6230961,712,19-07 19:44:05
6771842,356,19-07 19:44:06
3696452,356,19-07 19:44:07
3563629,356,19-07 19:44:08
8481658,0,19-07 19:44:09
8733194,0,19-07 19:44:10
8531124,0,19-07 19:44:11
7289410,1424,19-07 19:44:12
8268623,356,19-07 19:44:13
