"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain15-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 18:23:37 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 18:23:37
0,0,19-07 18:23:38
0,0,19-07 18:23:39
0,0,19-07 18:23:40
0,0,19-07 18:23:41
0,0,19-07 18:23:42
0,0,19-07 18:23:43
0,0,19-07 18:23:44
0,0,19-07 18:23:45
0,0,19-07 18:23:46
0,0,19-07 18:23:47
0,0,19-07 18:23:48
2913862,0,19-07 18:23:49
2341962,0,19-07 18:23:50
2912883,0,19-07 18:23:51
2557458,0,19-07 18:23:52
2707304,0,19-07 18:23:53
2836960,0,19-07 18:23:54
2515491,0,19-07 18:23:55
2563719,0,19-07 18:23:56
2648816,0,19-07 18:23:57
3093997,0,19-07 18:23:58
2743730,0,19-07 18:23:59
1421099,356,19-07 18:24:00
2661624,1068,19-07 18:24:01
2984911,0,19-07 18:24:02
2677872,0,19-07 18:24:03
3043295,1068,19-07 18:24:04
2200313,1424,19-07 18:24:05
2860924,0,19-07 18:24:06
2697016,0,19-07 18:24:07
2383938,356,19-07 18:24:08
4065579,0,19-07 18:24:09
777900,1068,19-07 18:24:10
482889,356,19-07 18:24:11
731211,356,19-07 18:24:12
1029525,356,19-07 18:24:13
3159317,0,19-07 18:24:14
1862402,0,19-07 18:24:15
2842363,0,19-07 18:24:16
2932086,0,19-07 18:24:17
2705976,0,19-07 18:24:18
3154516,0,19-07 18:24:19
2801038,0,19-07 18:24:20
3266992,0,19-07 18:24:21
2888253,0,19-07 18:24:22
3171083,0,19-07 18:24:23
1268490,0,19-07 18:24:24
2418697,712,19-07 18:24:25
3140916,0,19-07 18:24:26
2514090,0,19-07 18:24:27
2729111,1068,19-07 18:24:28
3031440,1068,19-07 18:24:29
2760573,356,19-07 18:24:30
2807140,712,19-07 18:24:31
2925908,0,19-07 18:24:32
4118770,0,19-07 18:24:33
585190,712,19-07 18:24:34
506520,712,19-07 18:24:35
587653,356,19-07 18:24:36
1449854,0,19-07 18:24:37
2460587,0,19-07 18:24:38
2224379,0,19-07 18:24:39
2935892,0,19-07 18:24:40
2394122,0,19-07 18:24:41
2608020,0,19-07 18:24:42
3051640,0,19-07 18:24:43
1976526,0,19-07 18:24:44
2481283,0,19-07 18:24:45
3043441,0,19-07 18:24:46
2647417,0,19-07 18:24:47
2851966,0,19-07 18:24:48
1916100,2136,19-07 18:24:49
2585287,0,19-07 18:24:50
2932663,0,19-07 18:24:51
2409678,0,19-07 18:24:52
2980782,712,19-07 18:24:53
2452745,712,19-07 18:24:54
3032780,356,19-07 18:24:55
2341859,712,19-07 18:24:56
3127811,0,19-07 18:24:57
3519263,0,19-07 18:24:58
460830,712,19-07 18:24:59
485346,712,19-07 18:25:00
696625,356,19-07 18:25:01
1505531,0,19-07 18:25:02
2572147,0,19-07 18:25:03
2031391,0,19-07 18:25:04
2572020,0,19-07 18:25:05
2910466,0,19-07 18:25:06
2633096,0,19-07 18:25:07
3324536,0,19-07 18:25:08
2486685,0,19-07 18:25:09
2720692,0,19-07 18:25:10
3116599,0,19-07 18:25:11
3040615,0,19-07 18:25:12
1748456,0,19-07 18:25:13
2058606,1780,19-07 18:25:14
2998513,0,19-07 18:25:15
2663377,0,19-07 18:25:16
2267429,1068,19-07 18:25:17
2693606,712,19-07 18:25:18
3211713,356,19-07 18:25:19
3120593,0,19-07 18:25:20
1758449,356,19-07 18:25:21
3566342,0,19-07 18:25:22
2641592,712,19-07 18:25:23
427022,356,19-07 18:25:24
636077,712,19-07 18:25:25
561169,356,19-07 18:25:26
2185097,0,19-07 18:25:27
2399708,0,19-07 18:25:28
2265667,0,19-07 18:25:29
2692762,0,19-07 18:25:30
2801492,0,19-07 18:25:31
2244648,0,19-07 18:25:32
2617164,0,19-07 18:25:33
2652053,0,19-07 18:25:34
2948273,0,19-07 18:25:35
2979713,0,19-07 18:25:36
2766372,0,19-07 18:25:37
1966878,0,19-07 18:25:38
2193980,2136,19-07 18:25:39
3297760,0,19-07 18:25:40
2858554,0,19-07 18:25:41
2515847,1068,19-07 18:25:42
2321807,0,19-07 18:25:43
2760418,712,19-07 18:25:44
3057775,356,19-07 18:25:45
1841574,356,19-07 18:25:46
3526451,0,19-07 18:25:47
2540985,356,19-07 18:25:48
505078,712,19-07 18:25:49
619408,356,19-07 18:25:50
672586,356,19-07 18:25:51
2343585,0,19-07 18:25:52
3188389,0,19-07 18:25:53
