"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain37-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","23 Jul 2017 04:44:04 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,23-07 04:44:04
0,0,23-07 04:44:05
0,0,23-07 04:44:06
0,0,23-07 04:44:07
0,0,23-07 04:44:08
0,0,23-07 04:44:09
0,0,23-07 04:44:10
0,0,23-07 04:44:11
0,0,23-07 04:44:12
0,0,23-07 04:44:13
0,0,23-07 04:44:14
0,0,23-07 04:44:15
1216011,0,23-07 04:44:16
5345701,0,23-07 04:44:17
2453091,0,23-07 04:44:18
2349465,0,23-07 04:44:19
3040095,0,23-07 04:44:20
1526420,0,23-07 04:44:21
2257469,0,23-07 04:44:22
3147496,0,23-07 04:44:23
2168632,0,23-07 04:44:24
3040228,0,23-07 04:44:25
2548698,0,23-07 04:44:26
2544664,712,23-07 04:44:27
2411528,712,23-07 04:44:28
571274,356,23-07 04:44:29
1373248,356,23-07 04:44:30
2220025,0,23-07 04:44:31
2616410,0,23-07 04:44:32
3477508,0,23-07 04:44:33
3678447,0,23-07 04:44:34
3137587,0,23-07 04:44:35
1525375,1068,23-07 04:44:36
3679892,0,23-07 04:44:37
2034476,0,23-07 04:44:38
2357754,1068,23-07 04:44:39
3198232,1068,23-07 04:44:40
3101699,356,23-07 04:44:41
1290081,712,23-07 04:44:42
460715,356,23-07 04:44:43
760551,356,23-07 04:44:44
2265782,0,23-07 04:44:45
3282180,0,23-07 04:44:46
2394844,0,23-07 04:44:47
2022381,0,23-07 04:44:48
2157039,0,23-07 04:44:49
2220452,0,23-07 04:44:50
2567495,1780,23-07 04:44:51
3637861,0,23-07 04:44:52
2581602,1068,23-07 04:44:53
2562537,356,23-07 04:44:54
2830134,0,23-07 04:44:55
540971,712,23-07 04:44:56
486872,356,23-07 04:44:57
513676,356,23-07 04:44:58
2094304,0,23-07 04:44:59
2512906,0,23-07 04:45:00
2664400,0,23-07 04:45:01
3851028,0,23-07 04:45:02
3085829,0,23-07 04:45:03
3117606,0,23-07 04:45:04
2661995,0,23-07 04:45:05
2418878,0,23-07 04:45:06
2311218,0,23-07 04:45:07
2348555,356,23-07 04:45:08
2967295,712,23-07 04:45:09
1543385,712,23-07 04:45:10
373898,1424,23-07 04:45:11
654573,356,23-07 04:45:12
355534,356,23-07 04:45:13
1977971,0,23-07 04:45:14
2443446,0,23-07 04:45:15
2230945,0,23-07 04:45:16
2982124,0,23-07 04:45:17
3462628,0,23-07 04:45:18
2670160,0,23-07 04:45:19
2000721,0,23-07 04:45:20
3676494,0,23-07 04:45:21
2787051,712,23-07 04:45:22
1889516,0,23-07 04:45:23
1886556,356,23-07 04:45:24
1798418,0,23-07 04:45:25
2371166,356,23-07 04:45:26
471520,1424,23-07 04:45:27
527130,712,23-07 04:45:28
787776,356,23-07 04:45:29
2838711,0,23-07 04:45:30
1728230,0,23-07 04:45:31
1856726,0,23-07 04:45:32
2390876,0,23-07 04:45:33
2715096,0,23-07 04:45:34
2760833,0,23-07 04:45:35
2379161,0,23-07 04:45:36
1198153,0,23-07 04:45:37
1822025,712,23-07 04:45:38
2351351,0,23-07 04:45:39
4130671,0,23-07 04:45:40
3207743,1068,23-07 04:45:41
2385834,712,23-07 04:45:42
3473662,0,23-07 04:45:43
673371,1068,23-07 04:45:44
550800,356,23-07 04:45:45
822622,356,23-07 04:45:46
3401302,0,23-07 04:45:47
3096946,0,23-07 04:45:48
3158208,0,23-07 04:45:49
3009720,0,23-07 04:45:50
3636994,0,23-07 04:45:51
3399626,0,23-07 04:45:52
2529544,0,23-07 04:45:53
3222210,0,23-07 04:45:54
3281861,356,23-07 04:45:55
3137439,712,23-07 04:45:56
2247122,356,23-07 04:45:57
1686120,712,23-07 04:45:58
393347,1424,23-07 04:45:59
589579,0,23-07 04:46:00
1860024,0,23-07 04:46:01
2503390,0,23-07 04:46:02
3204025,0,23-07 04:46:03
3880443,0,23-07 04:46:04
2500420,0,23-07 04:46:05
2662462,0,23-07 04:46:06
2235755,0,23-07 04:46:07
2347819,1068,23-07 04:46:08
2608848,0,23-07 04:46:09
3440988,712,23-07 04:46:10
2739134,1068,23-07 04:46:11
3136682,712,23-07 04:46:12
4139557,0,23-07 04:46:13
577067,712,23-07 04:46:14
718926,356,23-07 04:46:15
1900450,0,23-07 04:46:16
2160387,0,23-07 04:46:17
3157790,0,23-07 04:46:18
4753961,0,23-07 04:46:19
4600244,0,23-07 04:46:20
3002256,0,23-07 04:46:21
5110191,0,23-07 04:46:22
4153325,0,23-07 04:46:23
4622416,712,23-07 04:46:24
4263367,1780,23-07 04:46:25
806776,356,23-07 04:46:26
2945014,0,23-07 04:46:27
4967668,0,23-07 04:46:28
6559972,0,23-07 04:46:29
6811547,0,23-07 04:46:30
4170162,1780,23-07 04:46:31
7761706,0,23-07 04:46:32
7618518,712,23-07 04:46:33
7117663,356,23-07 04:46:34
1720892,356,23-07 04:46:35
8017244,0,23-07 04:46:36
