"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain25-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 07:42:35 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 07:42:35
0,0,19-07 07:42:36
0,0,19-07 07:42:37
0,0,19-07 07:42:38
0,0,19-07 07:42:39
0,0,19-07 07:42:40
0,0,19-07 07:42:41
0,0,19-07 07:42:42
0,0,19-07 07:42:43
0,0,19-07 07:42:44
0,0,19-07 07:42:45
0,0,19-07 07:42:46
0,0,19-07 07:42:47
170321,0,19-07 07:42:48
538671,0,19-07 07:42:49
1175724,0,19-07 07:42:50
1136391,0,19-07 07:42:51
1054717,0,19-07 07:42:52
1171708,0,19-07 07:42:53
1200624,0,19-07 07:42:54
1211436,0,19-07 07:42:55
1178258,0,19-07 07:42:56
1181920,0,19-07 07:42:57
1196108,0,19-07 07:42:58
1210656,0,19-07 07:42:59
1195820,0,19-07 07:43:00
1154752,0,19-07 07:43:01
1203428,0,19-07 07:43:02
1231123,0,19-07 07:43:03
1199037,0,19-07 07:43:04
1187916,0,19-07 07:43:05
1185577,0,19-07 07:43:06
1195553,0,19-07 07:43:07
1259416,0,19-07 07:43:08
1228074,0,19-07 07:43:09
1227435,0,19-07 07:43:10
1212308,0,19-07 07:43:11
1231106,0,19-07 07:43:12
1056286,0,19-07 07:43:13
1098231,1424,19-07 07:43:14
1194925,0,19-07 07:43:15
760362,712,19-07 07:43:16
1208503,0,19-07 07:43:17
1228633,0,19-07 07:43:18
1250254,0,19-07 07:43:19
1215196,0,19-07 07:43:20
1194880,0,19-07 07:43:21
1220221,1068,19-07 07:43:22
1184116,1068,19-07 07:43:23
1230344,0,19-07 07:43:24
1186423,712,19-07 07:43:25
1084673,712,19-07 07:43:26
1250827,356,19-07 07:43:27
1181866,356,19-07 07:43:28
1273906,0,19-07 07:43:29
1186234,356,19-07 07:43:30
1018019,712,19-07 07:43:31
1246393,0,19-07 07:43:32
1247729,0,19-07 07:43:33
1265853,0,19-07 07:43:34
1269860,0,19-07 07:43:35
1111627,0,19-07 07:43:36
676808,1424,19-07 07:43:37
666808,1068,19-07 07:43:38
514058,356,19-07 07:43:39
1131597,0,19-07 07:43:40
1193780,0,19-07 07:43:41
1204705,0,19-07 07:43:42
1079681,0,19-07 07:43:43
1161895,0,19-07 07:43:44
1190801,0,19-07 07:43:45
1153888,0,19-07 07:43:46
1238790,0,19-07 07:43:47
1251988,0,19-07 07:43:48
1252808,0,19-07 07:43:49
1252596,0,19-07 07:43:50
1210800,0,19-07 07:43:51
1260352,0,19-07 07:43:52
