"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain16-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 21:06:31 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 21:06:31
0,0,19-07 21:06:32
0,0,19-07 21:06:33
0,0,19-07 21:06:34
0,0,19-07 21:06:35
0,0,19-07 21:06:36
0,0,19-07 21:06:37
0,0,19-07 21:06:38
0,0,19-07 21:06:39
0,0,19-07 21:06:40
0,0,19-07 21:06:41
0,0,19-07 21:06:42
0,0,19-07 21:06:43
145202,0,19-07 21:06:44
802749,0,19-07 21:06:45
1073660,0,19-07 21:06:46
1042655,0,19-07 21:06:47
994622,0,19-07 21:06:48
1024075,0,19-07 21:06:49
1098836,0,19-07 21:06:50
1113368,0,19-07 21:06:51
1020438,0,19-07 21:06:52
1114520,0,19-07 21:06:53
1162540,0,19-07 21:06:54
1125448,0,19-07 21:06:55
1127876,0,19-07 21:06:56
1016552,0,19-07 21:06:57
1161200,0,19-07 21:06:58
1152768,0,19-07 21:06:59
1154241,0,19-07 21:07:00
1143355,0,19-07 21:07:01
1054427,0,19-07 21:07:02
1155804,0,19-07 21:07:03
1164138,0,19-07 21:07:04
1145433,0,19-07 21:07:05
1179222,0,19-07 21:07:06
1029703,0,19-07 21:07:07
1157712,0,19-07 21:07:08
1151792,0,19-07 21:07:09
1065008,0,19-07 21:07:10
892111,0,19-07 21:07:11
796032,2136,19-07 21:07:12
1020166,356,19-07 21:07:13
659426,356,19-07 21:07:14
1164462,0,19-07 21:07:15
1148128,0,19-07 21:07:16
1027041,0,19-07 21:07:17
1151954,0,19-07 21:07:18
1069792,0,19-07 21:07:19
1128752,0,19-07 21:07:20
1146929,1068,19-07 21:07:21
1092286,0,19-07 21:07:22
1105000,356,19-07 21:07:23
1093835,356,19-07 21:07:24
1085610,1424,19-07 21:07:25
1181620,356,19-07 21:07:26
1090868,0,19-07 21:07:27
1092889,0,19-07 21:07:28
1161857,0,19-07 21:07:29
1063150,712,19-07 21:07:30
854217,1068,19-07 21:07:31
1078629,0,19-07 21:07:32
1206269,0,19-07 21:07:33
1228773,0,19-07 21:07:34
1218668,0,19-07 21:07:35
1183884,0,19-07 21:07:36
403777,2136,19-07 21:07:37
471174,356,19-07 21:07:38
641618,356,19-07 21:07:39
372796,356,19-07 21:07:40
1069625,0,19-07 21:07:41
1040615,0,19-07 21:07:42
1112303,0,19-07 21:07:43
1168695,0,19-07 21:07:44
950302,0,19-07 21:07:45
1050883,0,19-07 21:07:46
1025084,0,19-07 21:07:47
1118476,0,19-07 21:07:48
1112958,0,19-07 21:07:49
1135480,0,19-07 21:07:50
1130768,0,19-07 21:07:51
1002996,0,19-07 21:07:52
1101900,0,19-07 21:07:53
1123712,0,19-07 21:07:54
1133908,0,19-07 21:07:55
1125036,0,19-07 21:07:56
1034236,0,19-07 21:07:57
1088725,0,19-07 21:07:58
1169772,0,19-07 21:07:59
1161184,0,19-07 21:08:00
1151813,0,19-07 21:08:01
1066404,0,19-07 21:08:02
1179326,0,19-07 21:08:03
1149195,0,19-07 21:08:04
1155456,0,19-07 21:08:05
1122944,0,19-07 21:08:06
981979,0,19-07 21:08:07
848736,0,19-07 21:08:08
1080052,1780,19-07 21:08:09
936169,356,19-07 21:08:10
846486,712,19-07 21:08:11
1053459,0,19-07 21:08:12
1175053,0,19-07 21:08:13
1164752,0,19-07 21:08:14
1092022,0,19-07 21:08:15
1114772,0,19-07 21:08:16
944161,1068,19-07 21:08:17
1162776,0,19-07 21:08:18
1107746,356,19-07 21:08:19
1070476,712,19-07 21:08:20
1208630,0,19-07 21:08:21
953035,1068,19-07 21:08:22
1212455,356,19-07 21:08:23
1090141,356,19-07 21:08:24
1246540,0,19-07 21:08:25
1032706,712,19-07 21:08:26
814770,712,19-07 21:08:27
1184854,0,19-07 21:08:28
1209625,0,19-07 21:08:29
1254185,0,19-07 21:08:30
1143852,0,19-07 21:08:31
1088641,0,19-07 21:08:32
834340,712,19-07 21:08:33
482883,712,19-07 21:08:34
547519,1068,19-07 21:08:35
519278,712,19-07 21:08:36
754797,0,19-07 21:08:37
1172245,0,19-07 21:08:38
1083679,0,19-07 21:08:39
1194665,0,19-07 21:08:40
959058,0,19-07 21:08:41
922831,0,19-07 21:08:42
1134156,0,19-07 21:08:43
1172176,0,19-07 21:08:44
1168518,0,19-07 21:08:45
1182980,0,19-07 21:08:46
1058168,0,19-07 21:08:47
