"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain0-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","18 Jul 2017 18:04:39 UTC"
"system"
"time"
18-07 18:04:39
18-07 18:04:40
18-07 18:04:41
18-07 18:04:42
18-07 18:04:43
18-07 18:04:44
18-07 18:04:45
18-07 18:04:46
18-07 18:04:47
18-07 18:04:48
18-07 18:04:49
18-07 18:04:50
18-07 18:04:51
18-07 18:04:52
18-07 18:04:53
18-07 18:04:54
18-07 18:04:55
18-07 18:04:56
18-07 18:04:57
18-07 18:04:58
18-07 18:04:59
18-07 18:05:00
18-07 18:05:01
18-07 18:05:02
18-07 18:05:03
18-07 18:05:04
18-07 18:05:05
18-07 18:05:06
18-07 18:05:07
18-07 18:05:08
18-07 18:05:09
18-07 18:05:10
18-07 18:05:11
18-07 18:05:12
18-07 18:05:13
18-07 18:05:14
18-07 18:05:15
18-07 18:05:16
18-07 18:05:17
18-07 18:05:18
18-07 18:05:19
18-07 18:05:20
18-07 18:05:21
18-07 18:05:22
18-07 18:05:23
18-07 18:05:24
18-07 18:05:25
18-07 18:05:26
18-07 18:05:27
18-07 18:05:28
18-07 18:05:29
18-07 18:05:30
18-07 18:05:31
18-07 18:05:32
18-07 18:05:33
18-07 18:05:34
18-07 18:05:35
18-07 18:05:36
18-07 18:05:37
18-07 18:05:38
18-07 18:05:39
18-07 18:05:40
18-07 18:05:41
18-07 18:05:42
18-07 18:05:43
18-07 18:05:44
18-07 18:05:45
18-07 18:05:46
18-07 18:05:47
18-07 18:05:48
18-07 18:05:49
