"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth4 --nocolor --output ./results/scaleout1000-from-vpn.csv",,,,"Date:","23 Jul 2017 02:22:36 UTC"

"net/dc2.s1-eth4",,"system"
"recv","send","time"
0.0,0.0,23-07 02:22:36
0.0,14399342.0,23-07 02:22:37
2220.0,23542630.0,23-07 02:22:38
370.0,23729842.0,23-07 02:22:39
370.0,24733640.0,23-07 02:22:40
370.0,24771291.0,23-07 02:22:41
370.0,24741457.0,23-07 02:22:42
430.0,24668356.0,23-07 02:22:43
430.0,24681475.0,23-07 02:22:44
430.0,24128644.0,23-07 02:22:45
60.0,24695462.0,23-07 02:22:46
60.0,24709704.0,23-07 02:22:47
1170.0,24641219.0,23-07 02:22:48
370.0,23813642.0,23-07 02:22:49
370.0,23731002.0,23-07 02:22:50
370.0,24245546.0,23-07 02:22:51
370.0,24358844.0,23-07 02:22:52
370.0,24585077.0,23-07 02:22:53
370.0,24226803.0,23-07 02:22:54
370.0,24016544.0,23-07 02:22:55
370.0,22704206.0,23-07 02:22:56
370.0,24721761.0,23-07 02:22:57
370.0,24797521.0,23-07 02:22:58
370.0,24690068.0,23-07 02:22:59
370.0,24720684.0,23-07 02:23:00
430.0,24084430.0,23-07 02:23:01
370.0,24036328.0,23-07 02:23:02
370.0,24355229.0,23-07 02:23:03
370.0,24777098.0,23-07 02:23:04
370.0,24806223.0,23-07 02:23:05
370.0,24697663.0,23-07 02:23:06
370.0,36812146.0,23-07 02:23:07
370.0,36516090.0,23-07 02:23:08
370.0,34705303.0,23-07 02:23:09
370.0,34914731.0,23-07 02:23:10
370.0,32642256.0,23-07 02:23:11
370.0,35864749.0,23-07 02:23:12
370.0,36090340.0,23-07 02:23:13
370.0,36236339.0,23-07 02:23:14
370.0,36074869.0,23-07 02:23:15
370.0,35791940.0,23-07 02:23:16
370.0,35427742.0,23-07 02:23:17
370.0,35207202.0,23-07 02:23:18
370.0,36318264.0,23-07 02:23:19
370.0,36105292.0,23-07 02:23:20
370.0,35724473.0,23-07 02:23:21
370.0,36621674.0,23-07 02:23:22
370.0,36806202.0,23-07 02:23:23
370.0,35503605.0,23-07 02:23:24
370.0,35286110.0,23-07 02:23:25
370.0,34755245.0,23-07 02:23:26
370.0,36656740.0,23-07 02:23:27
370.0,37156756.0,23-07 02:23:28
370.0,35210505.0,23-07 02:23:29
370.0,35325624.0,23-07 02:23:30
370.0,33765968.0,23-07 02:23:31
430.0,31045029.0,23-07 02:23:32
370.0,36954299.0,23-07 02:23:33
370.0,37140134.0,23-07 02:23:34
370.0,35183153.0,23-07 02:23:35
370.0,35219172.0,23-07 02:23:36
430.0,33954443.0,23-07 02:23:37
430.0,36353378.0,23-07 02:23:38
430.0,36273993.0,23-07 02:23:39
370.0,36046173.0,23-07 02:23:40
60.0,37058052.0,23-07 02:23:41
60.0,35229703.0,23-07 02:23:42
60.0,36173257.0,23-07 02:23:43
60.0,36281859.0,23-07 02:23:44
60.0,36637971.0,23-07 02:23:45
