"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ids1",,,,"User:","root"
"Cmdline:","dstat --net --time -N input --bits --output /tmp/dstat.csv",,,,"Date:","11 Jul 2017 04:41:48 UTC"
"net/input",,"system"
"recv","send","time"
0,0,11-07 04:41:48
0,0,11-07 04:41:49
0,0,11-07 04:41:50
0,0,11-07 04:41:51
881187,0,11-07 04:41:52
1306729,0,11-07 04:41:53
1285649,0,11-07 04:41:54
1201342,0,11-07 04:41:55
1267202,0,11-07 04:41:56
1304768,0,11-07 04:41:57
1305414,0,11-07 04:41:58
1304884,0,11-07 04:41:59
1304184,0,11-07 04:42:00
1304044,0,11-07 04:42:01
1304346,0,11-07 04:42:02
1304482,0,11-07 04:42:03
1304708,0,11-07 04:42:04
1303698,0,11-07 04:42:05
1303641,0,11-07 04:42:06
1300668,0,11-07 04:42:07
1306744,0,11-07 04:42:08
1301726,42,11-07 04:42:09
1308007,0,11-07 04:42:10
1307122,0,11-07 04:42:11
168804,0,11-07 04:42:12
0,0,11-07 04:42:13
0,0,11-07 04:42:14
0,0,11-07 04:42:15
0,0,11-07 04:42:16
0,0,11-07 04:42:17
0,0,11-07 04:42:18
0,0,11-07 04:42:19
0,0,11-07 04:42:20
0,0,11-07 04:42:21
0,0,11-07 04:42:22
0,0,11-07 04:42:23
0,0,11-07 04:42:24
0,0,11-07 04:42:25
0,0,11-07 04:42:26
0,0,11-07 04:42:27
0,0,11-07 04:42:28
0,0,11-07 04:42:29
0,0,11-07 04:42:30
0,0,11-07 04:42:31
0,0,11-07 04:42:32
0,0,11-07 04:42:33
0,0,11-07 04:42:34
0,0,11-07 04:42:35
0,0,11-07 04:42:36
0,0,11-07 04:42:37
0,0,11-07 04:42:38
0,0,11-07 04:42:39
0,0,11-07 04:42:40
0,0,11-07 04:42:41
0,0,11-07 04:42:42
0,0,11-07 04:42:43
0,0,11-07 04:42:44
0,0,11-07 04:42:45
0,0,11-07 04:42:46
0,0,11-07 04:42:47
0,0,11-07 04:42:48
0,0,11-07 04:42:49
0,0,11-07 04:42:50
0,0,11-07 04:42:51
0,0,11-07 04:42:52
0,0,11-07 04:42:53
0,0,11-07 04:42:54
0,0,11-07 04:42:55
0,0,11-07 04:42:56
0,0,11-07 04:42:57
0,0,11-07 04:42:58
0,0,11-07 04:42:59
0,0,11-07 04:43:00
0,0,11-07 04:43:01
0,0,11-07 04:43:02
0,0,11-07 04:43:03
0,0,11-07 04:43:04
0,0,11-07 04:43:05
0,0,11-07 04:43:06
0,0,11-07 04:43:07
0,0,11-07 04:43:08
0,0,11-07 04:43:09
0,0,11-07 04:43:10
0,0,11-07 04:43:11
0,0,11-07 04:43:12
0,0,11-07 04:43:13
0,0,11-07 04:43:14
0,0,11-07 04:43:15
0,0,11-07 04:43:16
0,0,11-07 04:43:17
0,0,11-07 04:43:18
0,0,11-07 04:43:19
0,0,11-07 04:43:20
0,0,11-07 04:43:21
0,0,11-07 04:43:22
0,0,11-07 04:43:23
0,0,11-07 04:43:24
0,0,11-07 04:43:25
0,0,11-07 04:43:26
0,0,11-07 04:43:27
0,0,11-07 04:43:28
0,0,11-07 04:43:29
