"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ids2",,,,"User:","root"
"Cmdline:","dstat --net --time -N input --bits --output /tmp/dstat.csv",,,,"Date:","23 Jul 2017 03:37:48 UTC"
"net/input",,"system"
"recv","send","time"
0,0,23-07 03:37:48
6066088,200880,23-07 03:37:49
9917734,337878,23-07 03:37:50
9651652,335502,23-07 03:37:51
10621766,194946,23-07 03:37:52
11810231,181594,23-07 03:37:53
12096728,189424,23-07 03:37:54
12087472,157294,23-07 03:37:55
12099701,154116,23-07 03:37:56
10943164,151724,23-07 03:37:57
11920182,176896,23-07 03:37:58
12377560,165976,23-07 03:37:59
11881531,180352,23-07 03:38:00
12410697,187056,23-07 03:38:01
12047518,151732,23-07 03:38:02
11443131,156746,23-07 03:38:03
11460580,157564,23-07 03:38:04
11363241,161452,23-07 03:38:05
11447554,176356,23-07 03:38:06
11959641,182080,23-07 03:38:07
12114663,161082,23-07 03:38:08
11592395,152758,23-07 03:38:09
11492189,147026,23-07 03:38:10
11386219,169714,23-07 03:38:11
11362942,163288,23-07 03:38:12
10672248,159778,23-07 03:38:13
10998878,165232,23-07 03:38:14
11215834,165564,23-07 03:38:15
11609078,160048,23-07 03:38:16
11758504,180668,23-07 03:38:17
11876655,168040,23-07 03:38:18
12576419,172630,23-07 03:38:19
10779086,154702,23-07 03:38:20
11636915,156870,23-07 03:38:21
11747786,162694,23-07 03:38:22
11319367,150686,23-07 03:38:23
10987464,152692,23-07 03:38:24
11399928,170782,23-07 03:38:25
11673510,51288,23-07 03:38:26
12392532,42,23-07 03:38:27
12943954,42,23-07 03:38:28
12643932,42,23-07 03:38:29
12197468,42,23-07 03:38:30
12019947,42,23-07 03:38:31
12524333,42,23-07 03:38:32
11541414,42,23-07 03:38:33
12010569,42,23-07 03:38:34
12186145,42,23-07 03:38:35
12269247,42,23-07 03:38:36
12560410,42,23-07 03:38:37
12451898,42,23-07 03:38:38
12556517,42,23-07 03:38:39
12794541,42,23-07 03:38:40
12889920,42,23-07 03:38:41
13116681,42,23-07 03:38:42
13425406,42,23-07 03:38:43
12138001,42,23-07 03:38:44
12488271,42,23-07 03:38:45
12627407,42,23-07 03:38:46
11571274,42,23-07 03:38:47
12116284,42,23-07 03:38:48
12651687,42,23-07 03:38:49
60,0,23-07 03:38:50
4650884,51048,23-07 03:38:51
11025647,152704,23-07 03:38:52
10917519,169768,23-07 03:38:53
11067459,155628,23-07 03:38:54
11507300,158860,23-07 03:38:55
11387518,173906,23-07 03:38:56
11810634,153610,23-07 03:38:57
11723079,165274,23-07 03:38:58
11277363,94650,23-07 03:38:59
11845015,42,23-07 03:39:00
12287572,42,23-07 03:39:01
12726072,68244,23-07 03:39:02
12436275,186724,23-07 03:39:03
12994394,175376,23-07 03:39:04
