"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ids2",,,,"User:","root"
"Cmdline:","dstat --net --time -N input --bits --output /tmp/dstat.csv",,,,"Date:","23 Jul 2017 03:33:46 UTC"
"net/input",,"system"
"recv","send","time"
0,0,23-07 03:33:46
750264,0,23-07 03:33:47
1311508,0,23-07 03:33:48
1311508,0,23-07 03:33:49
1310054,0,23-07 03:33:50
1311508,0,23-07 03:33:51
1311508,0,23-07 03:33:52
1310054,0,23-07 03:33:53
1311508,0,23-07 03:33:54
1310054,0,23-07 03:33:55
1311508,0,23-07 03:33:56
1311508,0,23-07 03:33:57
1218452,0,23-07 03:33:58
1311508,0,23-07 03:33:59
1310054,0,23-07 03:34:00
1311508,0,23-07 03:34:01
1311508,0,23-07 03:34:02
1310054,0,23-07 03:34:03
1311508,0,23-07 03:34:04
1311508,0,23-07 03:34:05
1310054,0,23-07 03:34:06
1311508,0,23-07 03:34:07
1311508,0,23-07 03:34:08
1208274,0,23-07 03:34:09
1311508,0,23-07 03:34:10
1311508,0,23-07 03:34:11
1311508,0,23-07 03:34:12
1310054,0,23-07 03:34:13
1311508,0,23-07 03:34:14
1310054,0,23-07 03:34:15
1311508,0,23-07 03:34:16
1311508,0,23-07 03:34:17
1311508,0,23-07 03:34:18
1310054,0,23-07 03:34:19
1215544,0,23-07 03:34:20
1310054,0,23-07 03:34:21
1311508,0,23-07 03:34:22
1311508,0,23-07 03:34:23
1310054,0,23-07 03:34:24
1311508,0,23-07 03:34:25
1311508,0,23-07 03:34:26
1310054,0,23-07 03:34:27
1311508,0,23-07 03:34:28
1311508,0,23-07 03:34:29
1310054,0,23-07 03:34:30
1311508,0,23-07 03:34:31
1189372,0,23-07 03:34:32
1310054,0,23-07 03:34:33
1311508,0,23-07 03:34:34
1310054,0,23-07 03:34:35
1311508,0,23-07 03:34:36
1311508,0,23-07 03:34:37
1310054,0,23-07 03:34:38
1332902,0,23-07 03:34:39
2621696,0,23-07 03:34:40
2498215,0,23-07 03:34:41
2599691,0,23-07 03:34:42
2522750,0,23-07 03:34:43
2620468,0,23-07 03:34:44
2620130,0,23-07 03:34:45
2619002,0,23-07 03:34:46
2619110,0,23-07 03:34:47
2619814,0,23-07 03:34:48
2619926,0,23-07 03:34:49
2618356,0,23-07 03:34:50
2618456,0,23-07 03:34:51
2619825,0,23-07 03:34:52
2616711,0,23-07 03:34:53
2527624,0,23-07 03:34:54
2231879,0,23-07 03:34:55
2637496,48858,23-07 03:34:56
2621366,48708,23-07 03:34:57
2618047,48654,23-07 03:34:58
2620018,48708,23-07 03:34:59
2606873,48546,23-07 03:35:00
2526360,48426,23-07 03:35:01
2559992,50226,23-07 03:35:02
