"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ids1",,,,"User:","root"
"Cmdline:","dstat --net --time -N input --bits --output /tmp/dstat.csv",,,,"Date:","23 Jul 2017 03:33:46 UTC"
"net/input",,"system"
"recv","send","time"
0,0,23-07 03:33:46
0,0,23-07 03:33:47
0,0,23-07 03:33:48
0,0,23-07 03:33:49
724482,0,23-07 03:33:50
1309728,0,23-07 03:33:51
1288549,0,23-07 03:33:52
1303403,0,23-07 03:33:53
1178149,0,23-07 03:33:54
1303316,0,23-07 03:33:55
1309566,0,23-07 03:33:56
1308484,0,23-07 03:33:57
1308540,0,23-07 03:33:58
1308328,0,23-07 03:33:59
1307886,0,23-07 03:34:00
1308418,0,23-07 03:34:01
1309596,0,23-07 03:34:02
1308626,0,23-07 03:34:03
1306845,0,23-07 03:34:04
1305192,0,23-07 03:34:05
1307941,0,23-07 03:34:06
1302842,0,23-07 03:34:07
1308001,0,23-07 03:34:08
1309924,0,23-07 03:34:09
1308655,0,23-07 03:34:10
1308254,0,23-07 03:34:11
1308488,0,23-07 03:34:12
1262352,0,23-07 03:34:13
1200781,2220,23-07 03:34:14
1269181,0,23-07 03:34:15
877525,412,23-07 03:34:16
1308221,0,23-07 03:34:17
1308425,0,23-07 03:34:18
1308508,0,23-07 03:34:19
1305856,0,23-07 03:34:20
1307028,0,23-07 03:34:21
1299690,1110,23-07 03:34:22
1271779,1480,23-07 03:34:23
1289966,370,23-07 03:34:24
1292841,370,23-07 03:34:25
1307038,0,23-07 03:34:26
1308792,412,23-07 03:34:27
1290230,370,23-07 03:34:28
1252803,740,23-07 03:34:29
1206454,370,23-07 03:34:30
1307631,0,23-07 03:34:31
1309737,0,23-07 03:34:32
1311029,0,23-07 03:34:33
1310504,0,23-07 03:34:34
1238806,1850,23-07 03:34:35
959442,370,23-07 03:34:36
958176,370,23-07 03:34:37
1280593,0,23-07 03:34:38
1286446,0,23-07 03:34:39
246980,0,23-07 03:34:40
0,0,23-07 03:34:41
0,0,23-07 03:34:42
0,0,23-07 03:34:43
0,0,23-07 03:34:44
0,0,23-07 03:34:45
0,0,23-07 03:34:46
0,0,23-07 03:34:47
0,0,23-07 03:34:48
0,0,23-07 03:34:49
0,0,23-07 03:34:50
0,0,23-07 03:34:51
0,0,23-07 03:34:52
0,0,23-07 03:34:53
0,0,23-07 03:34:54
0,0,23-07 03:34:55
0,0,23-07 03:34:56
0,0,23-07 03:34:57
0,0,23-07 03:34:58
0,0,23-07 03:34:59
0,0,23-07 03:35:00
0,0,23-07 03:35:01
0,0,23-07 03:35:02
